id,name,item level,rarity,binds,unique,min dmg,max dmg,speed,dps,equip slot,type,stamina,intellect,agility,spirit,strength,armor,block,fire res,nature res,frost res,shadow res,arcane res,durability,requires level,effects,sell price,set,class,enchantment,flavour text,requires profession,begins quest,dropped by,n/a to players,deprecated184,Deprecated Small Brown Pouch,5,common,,,,,,,,6 Slot Bag,,,,,,,,,,,,,,,,1s 25c,,,,,,,,This item is not available to players.,Deprecated
6316,Loch Frenzy Delight,15,common,,,,,,,,,,,,,,,,,,,,,,5,Restores 243.6 health over 21 sec. Must remain seated while eating.,3c,,,,,,,,,
9322,Undamaged Venom Sac,1,common,Quest Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Witherbark Broodguard,,
9130,Tablet of Nature Resistance Totem II,44,common,,,,,,,,,,,,,,,,,,,,,,44,Teaches Molten Blast ,62s 50c,,Shaman,,,,,,,Deprecated
13251,Head of Baron Rivendare,1,common,Quest Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baron Rivendare,,
8128,Myrmidon's Gauntlets,49,uncommon,Binds when equipped,,,,,,Hands,Mail,+11,+10,,,,168,,,,,,,35,44,,62s 29c,,,,,,,"Highvale Marksman, Murk Spitter, Atal'ai Priest, Dark Iron Slaver, Inferno Elemental, Twilight Dark Shaman, Wretched Lost One, Nethergarde Cleric, Dark Screecher, Ribbly's Crony, Green Sludge, Silvermane Stalker, Vilebranch Scalper, Hakkari Frostwing, Dark Iron Taskmaster, Black Slayer, Gammerita, Deep Lurker, Hakkari Bloodkeeper, Incendosaur, Hammered Patron, Slavering Ghoul, Vilebranch Warrior, Scorpok Stinger, Black Drake, Slime Maggot, Hakkari Sapper, Twilight Idolater, Nightmare Suppressor, Felbeast, Vilebranch Shadowcaster, Vilebranch Raiding Wolf, Heavy War Golem, Twilight Fire Guard, Dark Iron Lookout, Grim Patron, Skeletal Flayer, Atal'ai Corpse Eater, Nightmare Wyrmkin, Redstone Basilisk, Greater Lava Spider, Fireguard, Murk Worm, Atal'ai Warrior, Atal'ai Deathwalker, Nightmare Scalebane, Vilebranch Berserker, Twilight Geomancer, Firegut Ogre, Vilebranch Hideskinner, Unliving Atal'ai, Atal'ai Slave, Nightmare Whelp, Twilight's Hammer Torturer, Vilebranch Shadow Hunter, Vilebranch Soul Eater, Vilebranch Blood Drinker, Vilebranch Aman'zasi Guard, Saltwater Snapjaw, Nightmare Wanderer, Atal'ai Witch Doctor, Anvilrage Overseer, Anvilrage Warden, Bloodhound, Anvilrage Guardsman",,
4877,Stone Arrowhead,1,poor,,,,,,,,,,,,,,,,,,,,,,,,10c,,,,,,,"Thunder Lizard, Clattering Scorpid, Venomtail Scorpid, Dreadmaw Crocolisk, Armored Scorpid, Cursed Darkhound, Elder Mottled Boar, Corrupted Bloodtalon Scythemaw, Bloodtalon Scythemaw, Bloodtalon Taillasher",,
4521,Alterac Granite,1,common,Quest Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18954,Solenor's Head,1,common,Quest Item,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nelson the Nice,,
3523,Unused Black Night Elf Pants,1,common,,,,,,,Legs,Mail,,,,,,32,,,,,,,35,,,2c,,,,,,,,This item is not available to players.,Deprecated
6413,Chief Brigadier Bracers,37,uncommon,Binds when equipped,,,,,,Wrist,Mail,+7,,,,+3,96,,,,,,,35,32,,24s 97c,,,,,,,"Bloodscalp Warrior, Stranglethorn Raptor, Saltscale Warrior, Saltscale Oracle, Saltscale Tide Lord, Kurzen Shadow Hunter, Syndicate Wizard, Elemental Slave, Crag Coyote, Ridge Huntress, Apothecary Jorell, Scarlet Conjuror, Marcel Dabyrie, Obsidian Golem, Bloodscalp Axe Thrower, Bloodscalp Beastmaster, Dreaming Whelp, Lost One Hunter, Syndicate Assassin, Witherbark Witch Doctor, Boulderfist Brute, Hammerfall Grunt, Shadowforge Tunneler, Shadowforge Chanter, Murkgill Oracle, Cleft Scorpid, Adolescent Whelp, Lost One Muckdweller, Sawtooth Crocolisk, Mosh'Ogg Brute, Boulderfist Magus, Stromgarde Defender, Shadowforge Warrior, Buzzard, Dustbelcher Warrior, Stonevault Ambusher, Crystal Spine Basilisk, Swamp Jaguar, Young Jungle Stalker, Snapjaw Crocolisk, Boulderfist Shaman, Drywhisker Kobold, Thundering Exile, Starving Buzzard, Scarlet Tracking Hound, Stonevault Cave Lurker, Bloodscalp Hunter, Sorrow Spinner, Syndicate Spy, Syndicate Sentry, Crushridge Ogre, Crushridge Mage, Daggerspine Raider, Shadowforge Darkweaver, Kurzen Commando, Mosh'Ogg Witch Doctor, Syndicate Saboteur, Witherbark Headhunter, Drywhisker Surveyor, Syndicate Conjuror, Rumbling Exile, Shrike Bat, Kurzen Elite, Crushridge Brute, Syndicate Magus, Cresting Exile, Scarlet Adept, Elder Stranglethorn Tiger, Jungle Thunderer, Crushridge Mauler, Bloodscalp Witch Doctor, Stromgarde Troll Hunter, Scarlet Beastmaster, Arcanist Doan, Stonevault Cave Hunter, Lesser Water Elemental, Feral Crag Coyote, Stranglethorn Tigress, Drywhisker Digger, Burning Exile, Shadowforge Surveyor, Bloodscalp Berserker, Lashtail Raptor, Bloodscalp Headhunter, Lesser Rock Elemental, Boulderfist Mauler, Highland Fleshstalker, Shadowmaw Panther, Scarlet Gallant, Shadowforge Digger, Scarlet Wizard, Shadowforge Ruffian, Scarlet Diviner, Scarlet Evoker, Scarlet Chaplain, Stonevault Rockchewer, Syndicate Prowler, Scarlet Protector, Scarlet Soldier, Scarlet Guardsman, Scarlet Centurion, Stonevault Oracle, Scarlet Monk, Scarlet Sorcerer, Scarlet Defender, Scarlet Myrmidon",,
14806,Bloodlust Epaulets,57,uncommon,Binds when equipped,,,,,,Shoulder,Mail,+9,+14,,,,231,,,,,,,60,52,,1g 55s 60c,,,,,,,"Tar Lord, Winterfall Pathfinder, Anguished Highborne, Rak'shiri, Warpwood Treant, Hive'Ashi Ambusher, Gordok Bushwacker, Whirling Invader, Thundering Invader, Tar Lurker, Jadefire Hellcaller, Crazed Owlbeast, Berserk Owlbeast, Cobalt Whelp, Shatterspear Troll, Gordok Enforcer, Hive'Zora Wasp, Rock Stalker, Twilight Avenger, Tortured Sentinel, Ulathek, Jaedenar Darkweaver, Deadwood Den Watcher, Shardtooth Mauler, Chillwind Chimaera, Raging Owlbeast, Elder Diemetradon, Xavaric, Warpwood Tangler, Skeletal Highborne, Rotting Highborne, Hive'Ashi Stinger, Stonelash Scorpid, Sand Skitterer, Moontouched Owlbeast, Ice Thistle Matriarch, Cobalt Broodling, Wildspawn Satyr, Wildspawn Trickster, Wildspawn Felsworn, Wildspawn Hellcaller, Warpwood Stomper, Hive'Ashi Sandstalker, Winterfall Totemic, Wildspawn Rogue, Hive'Zora Waywatcher, Chillwind Ravager, Eldreth Apparition, Hive'Ashi Defender, Dredge Striker, Silicate Feeder, Hive'Zora Tunneler, Deadwood Avenger, Ice Thistle Patriarch, Stonelash Flayer, Hive'Ashi Drone, Fel Lash, Death Lash, Warpwood Crusher, Ice Thistle Yeti, Ironbark Protector, Warpwood Guardian, Eldreth Spirit, Winterfall Den Watcher, Winterfall Runner, Eldreth Spectre, Cobalt Wyrmkin, Gordok Reaver, Hive'Ashi Worker, Desert Rumbler, Gordok Mastiff, Cobalt Scalebane, Cobalt Mageweaver, Hive'Ashi Swarmer, Wildspawn Imp, Dredge Crusher, Winterfall Shaman, Elder Shardtooth, Mana Remnant, Wildspawn Shadowstalker, Winterfall Ursa, Dust Stormer, Gordok Brute, Carrion Swarmer, Whip Lasher",,
8212,Wild Leather Leggings,50,uncommon,Binds when equipped,,,,,,Legs,Leather,,,,,,116,,,,,,,65,45,,1g 15s 85c,,,Random enchantment,,,,,,
10002,Shadoweave Pants,42,uncommon,Binds when equipped,,,,,,Legs,Cloth,+6,,,,,48,,,,,,,55,37,Increases damage done by Shadow spells and effects by up to 21.,52s 76c,,,,,,,"Josephine Lister, Jalane Ayrole",,
10463,Pattern: Shadoweave Mask,49,uncommon,Binds when equipped,,,,,,Head,Cloth,,+10,,,,52,,,,,,,45,44,"Teaches you how to sew a Shadoweave Mask., Increases damage done by Shadow spells and effects by up to 24.",17s 50c,,,,,"('Tailoring', '245')",,,,
15015,Lupine Cloak,13,common,,,,,,,Back,,,,,,,12,,,,,,,,8,,86c,,,,,,,"Gnarlpine Pathfinder, Felweaver Scornn, Moonkin Oracle, Gnarlpine Avenger, Gnarlpine Totemic, Timberling Mire Beast, Foreststrider, Burning Blade Neophyte, Gazz'uz, Corrupted Dreadmaw Crocolisk, Kolkar Pack Runner, Southsea Cutthroat, Tazan, Bloodfeather Wind Witch, Razormane Battleguard, Bloodtalon Scythemaw, Lightning Hide, Corrupted Mottled Boar, Southsea Privateer, Captain Flat Tusk, Young Moonkin, Greymist Raider, Burning Blade Acolyte, Gamon, Lady Sathrah, Lost Barrens Kodo, Burning Blade Bruiser, Young Reef Crawler, Windfury Sorceress, Dustwind Savage, Thunder Lizard, Cursed Highborne, Greymist Netter, Prairie Wolf Alpha, Bristleback Interloper, Windfury Matriarch, Kolkar Bloodcharger, Pygmy Tide Crawler, Burning Blade Fanatic, Dustwind Storm Witch, Deepmoss Hatchling, Grimtotem Ruffian, Elder Timberling, Tide Crawler, Razormane Hunter, Moonstalker Runt, Razormane Water Seeker, Kolkar Packhound, Dreadmaw Crocolisk, Greymist Coastrunner, Burning Blade Apprentice, Venomtail Scorpid, Deth'ryll Satyr, Grimtotem Mercenary, Writhing Highborne, Raging Moonkin, Moonstalker, Foreststrider Fledgling, Savannah Huntress, Razormane Thornweaver, Witchwing Harpy, Wild Grell, Sunscale Lashtail, Vile Sprite, Savannah Prowler, Moonkin, Blackwood Windtalker, Greymist Seer, Razormane Mystic, Razormane Geomancer, Darkshore Thresher, Blackwood Pathfinder, Wailing Highborne, Thistle Bear, Razormane Defender, Sunscale Screecher, Fleeting Plainstrider, Southsea Cannoneer, Greater Plainstrider, Rabid Thistle Bear, Southsea Brigand, Searing Blade Warlock, Molten Elemental, Zhevra Runner, Kolkar Wrangler, Kolkar Stormer, Ragefire Shaman, Earthborer, Searing Blade Enforcer, Ragefire Trogg, Searing Blade Cultist",,
6224,"Monster - Sword2H, Black Metal Hilt",1,poor,,,1,2,2.00,0.75,Two-Hand,Sword,,,,,,,,,,,,,20,,,4c,,,,,,,,This item is not available to players.,
6061,Graystone Bracers,8,common,Binds when picked up,,,,,,Wrist,Mail,,,,,,39,,,,,,,20,,,23c,,,,,,,,,
5227,Empty Mana Jewel,37,common,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deprecated
4942,Tiger Hide Boots,12,common,Binds when picked up,,,,,,Feet,Leather,,,,,,40,,,,,,,30,,,89c,,,,,,,,,
2082,Wizbang's Gunnysack,5,common,Binds when picked up,Unique,,,,,,,,,,,,,,,,,,,,,,2s 50c,,,,,,,,,
5761,Anvilmar Sledge,5,common,Binds when picked up,,6,10,3.10,2.58,Two-Hand,Mace,,,,,,,,,,,,,35,,,30c,,,,,,,,,
3969,Smooth Leather Belt,55,poor,,,,,,,Waist,Leather,,,,,,73,,,,,,,30,50,,32s 56c,,,,,,,"Condemned Acolyte, Draconic Magelord, Grand Inquisitor Isillien, Red Dragonspawn, Red Wyrmkin, Scarlet Executioner, Scalebane Lieutenant, Kirith the Damned, Red Scalebane, Scarlet Magus, Scalebane Royal Guard, Flamescale Wyrmkin, Malfunctioning Reaver, Jademir Oracle, Petrified Treant, Wyrmkin Firebrand, High Protector Lorik, Blue Dragonspawn, Draconic Mageweaver, Flamescale Dragonspawn, Blue Scalebane, Black Dragonspawn, Cobalt Wyrmkin, Gurubashi Warrior, Foreman Jerris, Rage Talon Fire Tongue, Cobalt Mageweaver, Cobalt Scalebane, Black Wyrmkin, Emeraldon Tree Warder, Dreadscorn, Flamekin Spitter, Chromatic Elite Guard, Eldreth Sorcerer, Warpwood Guardian, Captain Galvangar, Jademir Tree Warder, Nightmare Scalebane, Strashaz Siren, Jademir Boughguard, Scarlet Paladin, Emeraldon Oracle, Shatterspear Drummer, Scarlet Cleric, Rage Talon Captain, Flamekin Torcher, Scarlet Sentinel, Warpwood Treant, Rage Talon Dragonspawn, Chromatic Dragonspawn, Ironbark Protector, Gordok Captain, Scarlet Archmage, Rage Talon Dragon Guard, Rage Talon Flamescale, Spirestone Warlord, Scarlet Cavalier, Eldreth Phantasm, Bloodaxe Veteran, Bloodaxe Evoker, Firebrand Invoker, Firebrand Legionnaire, Pathstrider, Scarlet Praetorian, Crypt Robber, Warpwood Tangler, Crimson Inquisitor, Wing Commander Mulverick, Spirestone Mystic, Smolderthorn Witch Doctor, Eldreth Spirit, Devouring Ooze, Blackhand Elite, Firebrand Grunt, Cursed Paladin, Gordok Mauler, Blackhand Dreadweaver, Crimson Monk, Aspect of Malice, Crimson Initiate, Smolderthorn Seer, Smolderthorn Headhunter, Scarlet Priest, Flesh Golem, Woodsman, Scarshield Sentry, Scarlet Warder, Blackhand Thug, Eldreth Spectre, Hederine Initiate, Felguard Elite, Hakkari Oracle, Bloodaxe Summoner, Cliff Walker, Crimson Battle Mage, Dreadmaul Mauler, Risen Warrior, Crimson Gallant, Vile Slime, Crimson Defender, Rookery Hatcher, Crimson Conjuror, Scarshield Warlock, Wildspawn Shadowstalker, Twilight Bodyguard, Minion of Weavil, Blackhand Summoner, Smolderthorn Mystic, Frostmaul Giant, Jaz, Wildspawn Betrayer, Wing Commander Vipore, Scarshield Legionnaire, Scarlet Enchanter, Skeletal Warlord, Ice Thistle Matriarch, Thuzadin Acolyte, Dark Guard, Ice Thistle Patriarch, Smolderthorn Shadow Hunter, Crimson Priest, Crimson Sorcerer, Scarlet Medic, Shadowsworn Dreadweaver, Crimson Guardsman, Blackhand Dragon Handler, Cliff Thunderer, High Interrogator Gerstahn, Gordok Enforcer, Fallen Hero, Scholomance Adept, Living Decay, Scholomance Occultist, Scarshield Grunt, Warpwood Crusher, Scarshield Acolyte, Smolderthorn Shadow Priest, Splintered Skeleton, Blackbreath Crony, Corporal Noreg Stormpike, Firebrand Darkweaver, Anvilrage Captain, Wildspawn Felsworn, Deathspeaker Selendre, Spirestone Enforcer, Stormwind Royal Guard, Spirestone Battle Mage, The Unforgiven, Eldreth Apparition, Crest Killer, Anvilrage Medic, Scholomance Necrolyte, Malor the Zealous, Scholomance Neophyte, Rotting Sludge, Thuzadin Shadowcaster, Lieutenant Lonadin, Smolderthorn Axe Thrower, Scarlet Curate, Crimson Courier, Gordok Reaver, Shade of Ambermoon, Thaurissan Agent, Risen Protector, Frostmaul Preserver, Blackhand Veteran, Scholomance Acolyte, Firebrand Dreadweaver, Tortured Sentinel, Diseased Ghoul, Verdantine Tree Warder, Loro, Nightmare Wyrmkin, Spectral Teacher, Bloodaxe Warmonger, Anvilrage Soldier, Blackhand Assassin, Spectral Researcher, Emeraldon Boughguard, Blackhand Iron Guard, Anvilrage Footman, Scarlet Knight, Doomforge Dragoon, Wailing Banshee, Spirestone Ogre Magus, Decaying Horror, Hukku, Scholomance Handler, Thuzadin Necromancer, Wildspawn Hellcaller, Crusader Lord Valdelmar, Mossflayer Scout, Anvilrage Marshal, Risen Bonewarder, Stone Guardian, Gordok Warlock, Mangled Cadaver, Gordok Brute",,
897,Madwolf Bracers,29,uncommon,Binds when equipped,,,,,,Wrist,Leather,+2,,+5,,,40,,,,,,,30,24,,10s 22c,,,,,,,Nightbane Vile Fang,,
5154,Book of Thorns III,24,common,,,,,,,,,,,,,,,,,,,,,,24,Teaches Thorns ,13s 25c,,Druid,,,,,,,Deprecated
4049,Emblazoned Bracers,28,uncommon,Binds when equipped,,,,,,Wrist,Leather,+5,+2,,,,40,,,,,,,30,23,,8s 88c,,,,,,,"Bone Chewer, Skeletal Healer, Bluegill Oracle, Garneg Charskull, Elder Gray Bear, Scarlet Magician, Holdout Warrior, Holdout Medic, Holdout Technician, Dark Iron Rifleman, Suffering Victim, Tamra Stormpike, Flesh Eater, Splinter Fist Warrior, Gath'Ilzogg, Shadowhide Warrior, Servant of Ilgalar, Defias Enchanter, Dragonmaw Centurion, Fetid Corpse, Sarltooth, Kam Deepfury, Elder Moss Creeper, Mudsnout Shaman, Addled Leper, Leprous Machinesmith, Crimson Whelp, First Mate Snellig, Dextren Ward, Giant Wetlands Crocolisk, Dun Garok Priest, Giant Moss Creeper, Scarlet Scout, Irradiated Invader, Leprous Technician, Mottled Scytheclaw, Mottled Razormaw, Dragonmaw Bonewarder, Rotted One, Dun Garok Rifleman, Daggerspine Shorestalker, Corrosive Lurker, Splinter Fist Firemonger, Hillsbrad Peasant, Mudsnout Gnoll, Caverndeep Invader, Nightbane Vile Fang, Black Widow Hatchling, Carrion Recluse, Dragonmaw Shadowwarder, Feral Mountain Lion, Lupine Horror, Torn Fin Muckdweller, Dragonmaw Swamprunner, Dark Iron Tunneler, Cursed Marine, Hillsbrad Footman, Hillsbrad Sentry, Son of Arugal, Skeletal Warder, Hamhock, Irradiated Pillager, Cursed Sailor, Nightbane Shadow Weaver, Caverndeep Reaver, Defias Convict, Hillsbrad Foreman, Irradiated Horror, Bluegill Raider, Bazil Thredd, Hillsbrad Miner, Dark Iron Saboteur, Leprous Defender, Caverndeep Ambusher, Brain Eater, Skeletal Raider, Defias Inmate, Dark Iron Dwarf, Caverndeep Burrower, Defias Insurgent, Plague Spreader, Dun Garok Mountaineer, Leprous Assistant, Mechanized Sentry, Nightbane Dark Runner, Dragonmaw Raider",,
10798,Atal'alarion's Tusk Ring,51,rare,Binds when picked up,,,,,,Waist,Plate,+8,,,,+18,302,,,,,,,45,46,,62s 63c,,,,,,,Atal'alarion,,
2461,Deprecated Elemental Resistance Potion,20,common,,,,,,,,,,,,,,,,,,,,,,10,,25c,,,,,,,,This item is not available to players.,Deprecated
2613,Double-stitched Robes,13,common,,,,,,,Chest,Cloth,,,,,,23,,,,,,,50,8,,1s 21c,,,,,,,"Wynne Larson, Theresa Moulaine, Tagain, Tor'phan, Anadyia, Lucille Castleton, Maeva Snowbraid",,
13399,Gargoyle Shredder Talons,59,rare,Binds when picked up,,49,91,1.80,38.89,Off Hand,Fist,,,,,,,,,,,,,65,54,Wounds the target causing them to bleed for 110 damage over 30 sec.,4g 63s 12c,,,,,,,Stonespine,,
22801,Spire of Twilight,83,epic,Binds when picked up,,141,251,3.20,61.25,Two-Hand,Staff,+30,+38,,,,,,,,,,,120,60,"Restores 10 mana per 5 sec., Increases healing done by spells and effects by up to 178.",24g 64s 40c,,,,,,,Thaddius,,
23259,Champion's Mail Headguard,71,rare,Binds when picked up,Unique,,,,,Head,Mail,+24,+16,,,+6,337,,,,,,,70,60,"Improves your chance to get a critical strike by 1%., Improves your chance to get a critical strike with spells by 1%.",1g 94s 54c,Champion's Stormcaller,Shaman,,,,,,,
12542,Funeral Pyre Vestment,51,rare,Binds when equipped,,,,,,Chest,Cloth,+13,+13,,+13,,73,,+10,,,,,80,46,,1g 23s 56c,,,,,,,"Hammered Patron, Ragereaver Golem, Jaz, Molten War Golem, Anvilrage Officer, Anvilrage Captain, Ribbly's Crony, Wrath Hammer Construct, Warbringer Construct, Anvilrage Overseer, Anvilrage Soldier, Anvilrage Marshal, Twilight's Hammer Torturer, Anvilrage Medic, Doomforge Dragoon, Fireguard, Blazing Fireguard, Fireguard Destroyer, Anvilrage Warden, Anvilrage Footman, Anvilrage Guardsman",,
7737,Sethir's Journal,1,common,Quest Item,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sethir the Ancient,,
20460,Brann Bronzebeard's Lost Letter,60,common,Binds when picked up,Unique,,,,,,,,,,,,,,,,,,,,58,,,,,,,,This Item Begins a Quest,,,Deprecated
8770,Book of Moonfire VI,34,common,,,,,,,,,,,,,,,,,,,,,,34,Teaches Moonfire ,32s 50c,,Druid,,,,,,,Deprecated
13755,Winter Squid,45,common,,,,,,,,,,,,,,,,,,,,,,35,Restores 874.8 health over 27 sec. Must remain seated while eating.,7c,,,,,,,,,
11914,Empty Cursed Ooze Jar,1,common,Binds when picked up,,,,,,,,,,,,,,,,,,,,,,Fills an Empty Cursed Ooze Jar with a sample of Cursed Ooze. WARNING,,,,,,,,"King Magni Bronzebeard, Arch Druid Fandral Staghelm, Fyldren Moonfeather, Samuel Hawke",,
9405,Girdle of Golem Strength,33,rare,Binds when equipped,,,,,,Waist,Mail,,,,,+12,128,,,,,,,40,28,Increased Defense ,20s 55c,,,,,,,"Bloodscalp Scout, Young Panther, River Crocolisk, Snapjaw Crocolisk, Dalaran Shield Guard, Daggerspine Siren, Syndicate Mercenary, Syndicate Conjuror, Silithid Hive Drone, Sparkleshell Tortoise, Salt Flats Vulture, Kolkar Destroyer, Burning Blade Adept, Hatefury Shadowstalker, Slitherblade Naga, Slitherblade Sorceress, Lashtail Raptor, Bloodscalp Axe Thrower, Bloodscalp Scavenger, Nightbane Tainted One, Elemental Slave, Plains Creeper, Dalaran Worker, Kolkar Battle Lord, Magram Outrunner, Magram Windchaser, Gelkis Stamper, Hatefury Betrayer, Khan Dez'hepah, Scarlet Trainee, Withered Quilguard, Razorfen Thornweaver, Drysnap Crawler, Bloodscalp Warrior, Kurzen Jungle Fighter, Kurzen Commando, Elder Stranglethorn Tiger, Cave Yeti, Hammerfall Peon, Saltstone Gazer, Withered Warrior, Razorfen Battleguard, Kurzen Medicine Man, Mountain Yeti, Giant Yeti, Bloodscalp Hunter, Crystal Spine Basilisk, Panther, Crushridge Ogre, Magram Wrangler, Saltstone Crystalhide, Sparkleshell Snapper",,
